QuickSortExtendedArrayBenchmark;D2010Mem;418;36176;"20131126 11:56:20.977"
"NexusDB with 1 thread(s)";D2010Mem;10407;47696;"20131126 11:56:25.517"
"NexusDB with 2 thread(s)";D2010Mem;9539;65616;"20131126 11:56:29.761"
"NexusDB with 4 thread(s)";D2010Mem;8968;102736;"20131126 11:56:33.812"
"NexusDB with 8 thread(s)";D2010Mem;7711;176976;"20131126 11:56:37.437"
"Transient threaded objects";D2010Mem;3234;152656;"20131126 11:56:39.546"
"Raw Performance 8 threads";D2010Mem;15758;108112;"20131126 11:56:45.899"
ManyShortLivedThreads;D2010Mem;2474;32080;"20131126 11:56:47.750"
StringThreadTest;D2010Mem;10148;30800;"20131126 11:56:52.207"
"Single-threaded AllocMem";D2010Mem;135447;202640;"20131126 11:57:51.193"
"Fragmentation Test";ScaleMem2;796;80136;"20131126 12:42:53.869"
"ReallocMem benchmark";ScaleMem2;4565;247176;"20131126 12:42:56.436"
"Block downsize";ScaleMem2;9615;199560;"20131126 12:43:00.719"
"Small upsize benchmark";ScaleMem2;840;296008;"20131126 12:43:02.086"
"Small downsize benchmark";ScaleMem2;1013;351304;"20131126 12:43:03.442"
"Block size spread benchmark";ScaleMem2;1287;230472;"20131126 12:43:04.892"
"Raw Performance 1 thread";ScaleMem2;2097;130440;"20131126 12:43:06.614"
"Address space creep benchmark";ScaleMem2;14780;222472;"20131126 12:43:12.637"
"Large block spread benchmark";ScaleMem2;13783;318856;"20131126 12:43:18.324"
"Array Upsize 1 thread";ScaleMem2;14;64904;"20131126 12:43:19.342"
"Address space creep (larger blocks)";ScaleMem2;5616;400776;"20131126 12:43:22.261"
"Single-threaded reallocate and use";ScaleMem2;7584;181640;"20131126 12:43:25.850"
"Single-threaded allocate, use and free";ScaleMem2;7555;164232;"20131126 12:43:29.425"
"Single Variables Access 6 arrays at a time";ScaleMem2;15783;69260;"20131126 12:43:44.842"
"Double Variables Access 3 arrays at a time";ScaleMem2;3949;72332;"20131126 12:43:47.197"
"Double Variables Access 6 arrays at a time";ScaleMem2;3824;72332;"20131126 12:43:49.505"
"Double Variables Access 18 arrays at a time";ScaleMem2;4265;72332;"20131126 12:43:51.963"
"Move Benchmark1 2 arrays at a time";ScaleMem2;2121;90764;"20131126 12:43:53.700"
"Move Benchmark2 4 arrays at a time";ScaleMem2;2235;90764;"20131126 12:43:55.470"
FillCharMultiThread;ScaleMem2;527;75344;"20131126 12:43:56.662"
SortIntegerArrayBenchmark;ScaleMem2;3355;69264;"20131126 12:43:58.813"
SortExtendedArrayBenchmark;ScaleMem2;1551;76184;"20131126 12:44:00.353"
MemFree1;ScaleMem2;29818;79512;"20131126 12:44:11.477"
MemFree2;ScaleMem2;293;78488;"20131126 12:44:12.592"
"Linked-list container benchmark";ScaleMem2;1303;133528;"20131126 12:44:14.050"
"Multi-threaded allocate, use and free";ScaleMem2;4439;141232;"20131126 12:44:16.566"
"Multi-threaded reallocate and use";ScaleMem2;2575;144304;"20131126 12:44:18.452"
QuickSortIntegerArrayBenchmark;ScaleMem2;7235;109232;"20131126 12:44:21.918"
QuickSortExtendedArrayBenchmark;ScaleMem2;406;113072;"20131126 12:44:23.068"
"NexusDB with 1 thread(s)";ScaleMem2;11806;109232;"20131126 12:44:28.085"
"NexusDB with 2 thread(s)";ScaleMem2;6074;110512;"20131126 12:44:31.156"
"NexusDB with 4 thread(s)";ScaleMem2;3233;154032;"20131126 12:44:33.263"
"NexusDB with 8 thread(s)";ScaleMem2;3492;241072;"20131126 12:44:35.461"
"Transient threaded objects";ScaleMem2;901;254384;"20131126 12:44:36.779"
"Raw Performance 8 threads";ScaleMem2;2025;171440;"20131126 12:44:38.480"
ManyShortLivedThreads;ScaleMem2;2130;85456;"20131126 12:44:40.215"
StringThreadTest;ScaleMem2;17381;67024;"20131126 12:44:47.122"
"Single-threaded AllocMem";ScaleMem2;131968;208336;"20131126 12:45:44.925"
